step,model_name,stage,seq_len,nonpad_loss,nonpad_ppl,tokens_per_sec,allocated_mib,pass_at_1_pct,syntax_valid_pct,parse_valid_pct,execution_valid_pct,arith_correct_pct,real_token_ratio,eos_filler_ratio,flops_per_token,tflops_per_s,gpu_watts,joules_per_step,tokens_per_joule
1,SamatNext-CL,1,512,11.036256,62084.760578,1253.74,4315.68,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,1.8450,nan,nan,nan
100,SamatNext-CL,1,512,1.005278,2.732667,6616.07,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.7363,nan,nan,nan
200,SamatNext-CL,1,512,1.000426,2.719441,6287.72,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.2531,nan,nan,nan
300,SamatNext-CL,1,512,0.991380,2.694952,6135.50,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.0291,nan,nan,nan
400,SamatNext-CL,1,512,0.997547,2.711621,6419.94,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.4476,nan,nan,nan
500,SamatNext-CL,1,512,0.994583,2.703597,6604.20,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.7188,nan,nan,nan
600,SamatNext-CL,1,512,0.991567,2.695455,6427.29,3512.81,100.00,100.00,100.00,100.00,100.00,0.9863,0.0137,1471610880,9.4585,nan,nan,nan
700,SamatNext-CL,1,512,0.993159,2.699748,6437.20,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.4731,nan,nan,nan
800,SamatNext-CL,1,512,0.991193,2.694447,6346.95,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.3402,nan,nan,nan
900,SamatNext-CL,1,512,0.994395,2.703089,6679.29,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.8293,nan,nan,nan
1000,SamatNext-CL,1,512,0.990402,2.692317,6178.88,3512.81,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,1471610880,9.0929,nan,nan,nan
1,Vanilla-GPT,1,512,11.030697,61740.590907,3487.48,7841.21,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,12.2793,nan,nan,nan
100,Vanilla-GPT,1,512,1.131422,3.100062,5968.69,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,21.0155,nan,nan,nan
200,Vanilla-GPT,1,512,1.120245,3.065604,6242.86,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,21.9808,nan,nan,nan
300,Vanilla-GPT,1,512,1.115586,3.051355,5912.64,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,20.8181,nan,nan,nan
400,Vanilla-GPT,1,512,1.118208,3.059366,6022.02,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,21.2033,nan,nan,nan
500,Vanilla-GPT,1,512,1.078094,2.939071,6798.62,5480.87,100.00,100.00,100.00,100.00,100.00,0.9863,0.0137,3520954368,23.9376,nan,nan,nan
600,Vanilla-GPT,1,512,1.108262,3.029090,5938.28,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,20.9084,nan,nan,nan
700,Vanilla-GPT,1,512,1.129124,3.092946,6099.15,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,21.4748,nan,nan,nan
800,Vanilla-GPT,1,512,1.103617,3.015053,5999.16,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,21.1228,nan,nan,nan
900,Vanilla-GPT,1,512,1.116339,3.053655,6059.01,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,21.3335,nan,nan,nan
1000,Vanilla-GPT,1,512,1.114093,3.046804,5907.80,5480.87,0.00,100.00,0.00,0.00,0.00,0.9863,0.0137,3520954368,20.8011,nan,nan,nan
1,SamatNext-CL,2,1024,9.853718,19028.969433,606.55,6167.80,0.00,100.00,0.00,0.00,0.00,0.9885,0.0115,1547108352,0.9384,nan,nan,nan
